Ticker,Date,Open,High,Low,Close,Volume
AMZN,10/1/2019 9:30,1746,1746.57,1743.76,1743.76,39620
AMZN,10/1/2019 9:31,1744.45,1746.36,1743.7,1745.68,6300
AMZN,10/1/2019 9:32,1745.16,1748.88,1744.26,1747.9,9856
AMZN,10/1/2019 9:33,1748,1753.54,1748,1753.54,19587
AMZN,10/1/2019 9:34,1753.66,1755.47,1752.81,1754.38,17342
AMZN,10/1/2019 9:35,1754.2,1755,1753.15,1753.66,9951
AMZN,10/1/2019 9:36,1753.97,1755.4,1753.77,1754.76,11752
AMZN,10/1/2019 9:37,1754.84,1755.6,1754.01,1754.01,6898
AMZN,10/1/2019 9:38,1754.01,1754.35,1752.5,1753.44,9745
AMZN,10/1/2019 9:39,1754,1754.42,1752.94,1753.45,5324
AMZN,10/1/2019 9:40,1754,1754.39,1751.4,1751.99,8624
AMZN,10/1/2019 9:41,1751.61,1754.04,1751.61,1753.72,4057
AMZN,10/1/2019 9:42,1754,1754.37,1753.54,1754.24,6417
AMZN,10/1/2019 9:43,1754.18,1754.79,1753.59,1754.56,4895
AMZN,10/1/2019 9:44,1754.79,1755,1753.51,1754.08,7562
AMZN,10/1/2019 9:45,1754.15,1755,1753.61,1754.05,9588
AMZN,10/1/2019 9:46,1753.54,1754.85,1752.59,1753.04,5955
AMZN,10/1/2019 9:47,1752.57,1754.81,1752.56,1754.6,3423
AMZN,10/1/2019 9:48,1754.94,1755.5,1754.58,1755.16,9112
AMZN,10/1/2019 9:49,1754.98,1754.98,1753.47,1754.16,4690
AMZN,10/1/2019 9:50,1754.13,1754.21,1751.68,1751.7,8591
AMZN,10/1/2019 9:51,1751.78,1751.78,1751.06,1751.35,8096
AMZN,10/1/2019 9:52,1751.48,1751.56,1750.24,1750.81,9278
AMZN,10/1/2019 9:53,1751.33,1753.39,1751.33,1753.37,3850
AMZN,10/1/2019 9:54,1753.4,1753.99,1753.02,1753.99,3105
AMZN,10/1/2019 9:55,1754.5,1755.4,1753.86,1754.92,7184
AMZN,10/1/2019 9:56,1755.09,1755.48,1754.19,1755.14,4462
AMZN,10/1/2019 9:57,1754.73,1755.15,1754.06,1755.04,4765
AMZN,10/1/2019 9:58,1754.6,1754.6,1753.73,1753.89,1837
AMZN,10/1/2019 9:59,1753.99,1754.98,1753.99,1754.56,2465
AMZN,10/1/2019 10:00,1753.39,1753.93,1750,1751.05,19270
AMZN,10/1/2019 10:01,1750.89,1752,1750.5,1751.23,6355
AMZN,10/1/2019 10:02,1752.19,1752.19,1749.04,1749.82,9145
AMZN,10/1/2019 10:03,1749.36,1749.36,1747,1747.86,10302
AMZN,10/1/2019 10:04,1747.41,1747.65,1745.01,1746.64,8529
AMZN,10/1/2019 10:05,1746,1746.36,1742,1745.25,13121
AMZN,10/1/2019 10:06,1744.46,1746.78,1743.15,1746.08,3592
AMZN,10/1/2019 10:07,1745.07,1745.07,1742.11,1743.75,8987
AMZN,10/1/2019 10:08,1743.52,1744.5,1743.38,1744.39,4295
AMZN,10/1/2019 10:09,1744.44,1744.46,1740.98,1740.98,7876
AMZN,10/1/2019 10:10,1741.39,1742.51,1740.19,1742.51,6440
AMZN,10/1/2019 10:11,1742.76,1743.05,1741.74,1742.01,3923
AMZN,10/1/2019 10:12,1742,1743.25,1740,1740,11009
AMZN,10/1/2019 10:13,1739.52,1740.74,1738.63,1739.67,11864
AMZN,10/1/2019 10:14,1739.22,1739.3,1737.79,1738.06,6904
AMZN,10/1/2019 10:15,1737.97,1739.61,1737.77,1739.5,5015
AMZN,10/1/2019 10:16,1739.63,1739.85,1738.07,1739.85,1575
AMZN,10/1/2019 10:17,1740.18,1741.23,1739.45,1740.46,7613
AMZN,10/1/2019 10:18,1740.46,1740.63,1738.8,1740.61,5280
AMZN,10/1/2019 10:19,1740.63,1740.63,1739.5,1739.5,3567
AMZN,10/1/2019 10:20,1739.55,1739.55,1737.6,1739.1,5750
AMZN,10/1/2019 10:21,1738.5,1739.91,1738.5,1739.58,2733
AMZN,10/1/2019 10:22,1739.76,1740.66,1739.02,1739.72,11635
AMZN,10/1/2019 10:23,1738.54,1740,1738,1739.59,1964
AMZN,10/1/2019 10:24,1740.66,1741.85,1739.83,1741.85,2730
AMZN,10/1/2019 10:25,1741.54,1742.33,1741.28,1742.33,3114
AMZN,10/1/2019 10:26,1742.7,1742.95,1740.11,1740.58,6780
AMZN,10/1/2019 10:27,1741.07,1742.36,1740.6,1742.33,3970
AMZN,10/1/2019 10:28,1742.39,1744.55,1742.39,1743.88,6989
AMZN,10/1/2019 10:29,1744.02,1744.61,1743.21,1744.61,5486
AMZN,10/1/2019 10:30,1744.47,1744.47,1742.73,1742.77,2550
AMZN,10/1/2019 10:31,1742.36,1744.38,1741.94,1744.08,8227
AMZN,10/1/2019 10:32,1744.02,1744.74,1743.96,1744.45,1600
AMZN,10/1/2019 10:33,1744.51,1744.71,1743.31,1743.31,3725
AMZN,10/1/2019 10:34,1743,1743,1742.07,1742.47,2565
AMZN,10/1/2019 10:35,1742.05,1742.05,1740.52,1740.52,4835
AMZN,10/1/2019 10:36,1740.52,1740.54,1739.16,1740.4,3518
AMZN,10/1/2019 10:37,1740.41,1740.41,1739.3,1739.52,1117
AMZN,10/1/2019 10:38,1740.37,1740.45,1738.21,1738.58,5769
AMZN,10/1/2019 10:39,1738.93,1739.25,1738.6,1739.02,900
AMZN,10/1/2019 10:40,1740.01,1740.2,1738.59,1738.59,3613
AMZN,10/1/2019 10:41,1739.18,1739.7,1738.61,1738.98,2340
AMZN,10/1/2019 10:42,1738.75,1738.75,1736.81,1737.64,11489
AMZN,10/1/2019 10:43,1737.53,1737.74,1736.72,1736.72,2768
AMZN,10/1/2019 10:44,1736.85,1737.32,1735.5,1736.56,2990
AMZN,10/1/2019 10:45,1737.36,1739.15,1737,1739.15,4468
AMZN,10/1/2019 10:46,1739.4,1739.62,1738.3,1738.3,2304
AMZN,10/1/2019 10:47,1737.97,1738.13,1737.7,1737.92,2403
AMZN,10/1/2019 10:48,1738.78,1739.65,1738.34,1738.34,2067
AMZN,10/1/2019 10:49,1737.9,1737.9,1736.58,1737,5604
AMZN,10/1/2019 10:50,1736.63,1737.75,1735.81,1736.88,3447
AMZN,10/1/2019 10:51,1737.64,1738.33,1737.31,1738.33,1400
AMZN,10/1/2019 10:52,1738.29,1738.46,1737.14,1737.25,2200
AMZN,10/1/2019 10:53,1737.48,1738.01,1737.09,1738.01,1900
AMZN,10/1/2019 10:54,1738.2,1739,1738.2,1738.99,3372
AMZN,10/1/2019 10:55,1738.76,1738.76,1737.32,1738.01,2065
AMZN,10/1/2019 10:56,1737,1737.82,1736.76,1736.76,1700
AMZN,10/1/2019 10:57,1736.61,1737.73,1735.87,1737.16,2668
